claim,Gaza,Gun Control,Racial Justice,Abortion,Immigration,Healthcare,Workers,Environment,Trump,LGBTplus,Musk
for ceasefire in Gaza,1.0,,,,,,,,,,
for ending all U.S. weapons sales and aid to Israel,1.0,,,,,,,,,,
for humanitarian and medical aid to Gaza,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for divesting hospitals from weapons manufacturers,1.0,,,,,,,,,,
against genocide and displacement in Gaza,1.0,,,,,,,,,,
for accountability for war crimes in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in rememberence of Jamal Davis,0.0,1.0,,,,,,,,,
against gun violence,0.0,1.0,,,,,,,,,
for justice for Tyrone West and all victims of police brutality,0.0,,1.0,,,,,,,,
for peace,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against presence in Bloomington of businesses that profit from war,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
against the military-industrial complex,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for arms embargo on Israel,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
in celebration of ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
against genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against all wars,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
against Lockheed Martin's complicity in genocide in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for abolishing police associations,0.0,,1.0,,,,,,,,
against police violence and corruption,0.0,,1.0,,,,,,,,
against racism,0.0,,1.0,,,,,,,,
against racism,0.0,,1.0,,,,,,,,
against police brutality,0.0,,1.0,,,,,,,,
for ratification of the Equal Rights Amendment,0.0,,,1.0,,,,,,,
for women's rights,0.0,,,1.0,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for Palestinian liberation,1.0,,,,,,,,,,
for ceasefire in Gaza,1.0,,,,,,,,,,
