tactic,count
Unknown,3321
vigil,82
bicycle ride,47
amplified sound,23
group meditation,20
megaphone,17
banners on overpass,15
car caravan,12
bannering on overpass,10
prayer vigil,9
marched with signs; rallied in front of Marlin Animal Center with signs,9
picket,8
banners and flags on overpass,8
study-in in Baker Lobby,7
marched in street,7
marched on sidewalks,7
banner drop,6
stood on roadside with signs,6
stood on roadside with signs and flags,5
stood at intersection with signs and flags,5
run or walk,5
walkout to march to join rally at City Hall,5
stood at roadside with signs,4
walkout,4
marched in street; drums,4
walkout to join march to PCC,4
megaphone and signs,4
menorah lighting,3
podium and amplified sound,3
stood at intersection with flags and signs,3
practice picket,3
walk or run,3
marched in street; stage and amplified sound,3
megaphone and banners and signs on sidewalk,2
stood at roadside with signs and flags,2
stood with banner and flags on overpass,2
stencils and posters,2
sit-in,2
sign waving event,2
amplified sound; marched on sidewalks,2
caravan,2
marched in street; megaphones,2
amplified sound; megaphones,2
encampment inside Smith Union,2
parade,2
stood on roadside with flags and signs,2
hung banner on overpass,2
amplified sound and signs and flags on capitol steps,2
marched in street; amplified sound,2
marched with signs and flags,2
picketing,2
hung banner from freeway overpass,2
verbally confronted rally-goers,2
informational picket,2
banner drop on freeway overpass,2
stood in front of hospital with banners and signs,2
painted stencils in underpass,2
dropped banner on overpass,2
flags and signs at roundabout; handed out flyers; low riders,1
stood on edge of rally with signs,1
marched to site of CRU tabling action; linked arms and stood in front of CRU table; handed out zines with information about CRU and the rights of undocumented people; one protester flipped the CRU table,1
stood and marched on sidewalks with flags and signs; honked horns; fireworks,1
entered building in attempt to disrupt Democratic Party Convention; chanted in lobby; scuffled with private security over banner; megaphone,1
stood in front of Chevron station with flags and signs and megaphone,1
stood in front of Chevron station with flags and signs,1
stood in front of Chevron station with signs and flags,1
marched in the streets; blocked portions of Buford Highway,1
marched in street; amplified sound; props,1
flags and signs on sidewalks; burnouts; fireworks; occupied roadway; at least one fight among demonstrators in which one person brandished a firearm,1
marched on sidewalks; Parasol Patrol flanked marchers with umbrella walls,1
vigil at Physics Courtyard with candlelit memorial display,1
threatened to pepper-spray marchers,1
"circled courthouse while chanting, raising signs, banging drums, and playing music; had some confrontation with protestors but not physically",1
stood on sidewalks with flags and signs; amplified music; vehicles circling area with flags,1
gathered to listen to virtual town hall meeting with signs,1
memorial display; megaphone,1
"vigil; placed flowers, candles, and photographs at an altar for healing at the Black Lives Matter mural",1
disrupted DNC forum with banner and shouting and chanting,1
chanted and held signs in the rotunda before the special session where many lawmakers passed them,1
marched on sidewalks; drums and chanting,1
marched into building carrying signs and banners and chanting,1
rallied on the corner with signs,1
amplifed sound,1
"demonstrated in front of building for most of afternoon and into evening; briefly stood to block building entrance ""when a handful of self-identified âdata minersâ waited to be admitted to the building. The small group of young men eventually left without entering after the protesters would not let them near the front doors.""; heckled and chanted at group trying to enter building; a few stayed past midnight",1
